Name,Class,Role,Tier,Score,Trend,Win %,Role %,Pick %,Ban %,KDA,Parche
Darius,Fighter,TOP,God,91.39,-1.55,50.90%,93.18%,9.21%,19.26%,1.91,12.11
Diana,Fighter,JUNGLE,S,59.7,-7,52.20%,82.57%,8.81%,6.96%,2.58,12.11
Diana,Fighter,MID,B,45.3,-0.09,50.90%,15.74%,1.71%,6.96%,2.2,12.11
Dr. Mundo,Marksman,TOP,S,57.55,7.29,52.85%,86.48%,3.26%,1.93%,2.28,12.11
Draven,Fighter,ADC,A,48.22,7.28,51.04%,94.09%,6.30%,10.65%,2.16,12.11
Ekko,Assassin,JUNGLE,A,52.76,-2.1,51.35%,60.78%,4.07%,2.40%,2.85,12.11
Ekko,Assassin,MID,B,47.57,4.37,50.70%,36.60%,2.39%,2.40%,2.35,12.11
Elise,Mage,JUNGLE,C,40.42,10.76,47.02%,90.53%,1.40%,0.61%,2.51,12.11
Evelynn,Assassin,JUNGLE,C,42.27,5.33,46.50%,98.12%,2.52%,3.77%,2.81,12.11
Ezreal,Marksman,ADC,God,85.75,-4.46,48.86%,95.33%,20.31%,4.81%,2.45,12.11
Fiddlesticks,Mage,JUNGLE,B,45.68,0.39,49.30%,85.82%,2.15%,1.21%,2.6,12.11
Fiora,Fighter,TOP,God,90.27,2.38,52.00%,97.43%,8.29%,21.55%,1.85,12.11
Fizz,Assassin,MID,A,48.39,-2.63,49.52%,95.13%,3.06%,4.66%,2.48,12.11
Galio,Tank,MID,B,46.03,-2.55,49.82%,78.48%,2.07%,0.34%,2.61,12.11
Galio,Tank,SUPPORT,C,38.58,1.8,49.96%,18.49%,0.46%,0.34%,2.42,12.11
Gangplank,Fighter,TOP,God,76.32,-12.54,47.96%,79.13%,8.20%,12.43%,02.05,12.11
Gangplank,Fighter,MID,C,41.06,0.4,47.57%,19.73%,2.19%,12.43%,2.19,12.11
Garen,Fighter,TOP,S,64.73,-5.17,50.79%,85.02%,5.76%,2.60%,02.05,12.11
Gnar,Fighter,TOP,A,50.36,2.45,49.48%,96.33%,3.61%,0.70%,1.99,12.11
Gragas,Fighter,JUNGLE,A,50.53,21.83,51.55%,28.02%,1.27%,0.46%,3.1,12.11
Gragas,Fighter,MID,B,48.08,6.71,53.14%,13.53%,0.70%,0.46%,2.64,12.11
Gragas,Fighter,TOP,B,43.3,9.19,48.42%,48.05%,2.43%,0.46%,2.16,12.11
Graves,Marksman,JUNGLE,A,51,-27.1,48.41%,76.74%,7.18%,6.77%,2.59,12.11
Graves,Marksman,TOP,D,35.55,-2.85,48.15%,15.85%,1.42%,6.77%,1.72,12.11
Gwen,Fighter,TOP,B,47.19,-28.04,46.69%,81.35%,4.37%,4.91%,1.62,12.11
Gwen,Fighter,JUNGLE,C,37.82,-0.43,46.64%,14.06%,0.77%,4.91%,2.24,12.11
Hecarim,Fighter,JUNGLE,B,47.57,3.34,49.00%,97.91%,2.97%,1.62%,2.92,12.11
Heimerdinger,Mage,MID,B,47,5.69,53.75%,43.04%,0.84%,0.88%,02.09,12.11
Heimerdinger,Mage,SUPPORT,D,35.9,0,50.07%,11.61%,0.17%,0.88%,1.85,12.11
Heimerdinger,Mage,TOP,D,30.23,6.94,48.27%,30.15%,0.57%,0.88%,1.58,12.11
Heimerdinger,Mage,ADC,D,28.61,5.19,50.96%,14.82%,0.21%,0.88%,2.15,12.11
Illaoi,Fighter,TOP,A,51.17,7.39,51.67%,92.55%,3.32%,5.09%,1.45,12.11
Irelia,Fighter,TOP,S,62.82,-0.02,49.01%,52.53%,5.51%,18.88%,1.62,12.11
Irelia,Fighter,MID,A,52.6,3.93,49.44%,45.53%,4.62%,18.88%,1.79,12.11
Ivern,Support,JUNGLE,C,40.26,2.89,45.79%,76.31%,1.02%,0.36%,03.09,12.11
Ivern,Support,SUPPORT,D,22.55,-10.81,41.49%,11.06%,0.15%,0.36%,2.37,12.11
Janna,Support,SUPPORT,God,65.82,3.55,54.37%,98.55%,6.55%,2.06%,3.37,12.11
Jarvan IV,Tank,JUNGLE,A,48.13,5.75,49.41%,87.11%,1.93%,0.25%,3.2,12.11
Jax,Fighter,TOP,S,63.5,-5.76,50.30%,84.17%,5.74%,9.34%,1.67,12.11
Jax,Fighter,JUNGLE,B,43.18,5.79,49.68%,13.89%,1.01%,8.94%,2.18,12.11
Jayce,Fighter,TOP,C,42.19,-1.53,48.29%,81.69%,2.69%,0.45%,1.81,12.11
Jayce,Fighter,MID,D,36.29,-3.85,48.60%,17.13%,0.49%,0.45%,2.1,12.11
Jhin,Marksman,ADC,God,84.5,-5.23,51.51%,97.03%,16.81%,5.00%,2.99,12.11
Jinx,Marksman,ADC,A,50.61,-8.05,49.13%,98.28%,9.07%,1.48%,2.21,12.11
Kai'Sa,Marksman,ADC,God,65.83,-23.19,49.38%,96.58%,13.59%,2.32%,2.44,12.11
Kalista,Marksman,ADC,C,42.14,5.97,50.34%,90.92%,4.76%,2.51%,2.39,12.11
Karma,Mage,SUPPORT,A,55.2,-0.74,48.40%,84.13%,7.43%,2.42%,2.73,12.11
Karthus,Mage,JUNGLE,C,41.19,-0.04,47.09%,62.99%,2.03%,3.18%,2.46,12.11
Karthus,Mage,MID,C,39.88,7.99,50.23%,13.74%,0.44%,3.18%,2.23,12.11
Karthus,Mage,ADC,D,28.14,-6.59,49.99%,17.11%,0.63%,3.18%,2.19,12.11
Kassadin,Assassin,MID,A,54.61,1.24,50.63%,96.05%,4.05%,9.23%,2.5,12.11
Katarina,Assassin,MID,S,62.3,-3.41,48.22%,94.42%,7.76%,11.36%,2.29,12.11
Kayle,Fighter,TOP,God,68.51,-19.28,50.43%,82.33%,6.70%,6.37%,1.79,12.11
Kayle,Fighter,MID,B,45.86,-10.26,51.96%,15.64%,1.31%,6.37%,2.19,12.11
Kayn,Fighter,JUNGLE,S,58.55,-16.72,50.18%,95.91%,10.60%,10.45%,2.45,12.11
Kennen,Mage,MID,B,43.37,3.49,51.89%,18.30%,0.30%,0.41%,2.41,12.11
Kennen,Mage,TOP,C,38.3,7.83,48.95%,77.59%,1.38%,0.47%,02.01,12.11
Kha'Zix,Assassin,JUNGLE,A,51.19,-8.16,49.80%,98.00%,5.59%,4.61%,2.61,12.11
Kindred,Marksman,JUNGLE,A,49.09,-6.07,49.87%,93.94%,5.03%,4.29%,2.26,12.11
Kled,Fighter,TOP,C,41.41,2.24,48.66%,88.13%,1.75%,1.01%,2.31,12.11
Kog'Maw,Marksman,ADC,C,41.77,-18.45,51.01%,91.32%,4.37%,5.40%,2.24,12.11
LeBlanc,Assassin,MID,B,46.9,2.56,47.78%,92.30%,3.02%,5.34%,2.85,12.11
Lee Sin,Fighter,JUNGLE,A,51.57,-12.02,46.08%,92.75%,10.37%,6.62%,2.68,12.11
Leona,Tank,SUPPORT,A,49.45,-3.9,49.25%,98.12%,4.99%,7.07%,2.32,12.11
Lillia,Fighter,JUNGLE,A,54.32,-13.46,50.86%,75.97%,5.75%,5.68%,2.85,12.11
Lillia,Fighter,TOP,B,46.31,-0.18,51.90%,20.05%,1.48%,5.68%,2.19,12.11
Lissandra,Mage,MID,B,47.29,05.06,49.03%,92.59%,3.20%,1.02%,2.43,12.11
Lucian,Marksman,ADC,God,67.64,-9.54,50.54%,88.48%,12.15%,11.91%,2.38,12.11
Lulu,Support,SUPPORT,God,72.17,-0.84,50.26%,96.00%,10.10%,17.38%,03.09,12.11
Lux,Mage,MID,S,62.32,0.09,52.12%,36.04%,4.83%,8.16%,2.96,12.11
Lux,Mage,SUPPORT,S,61.13,0.17,48.51%,60.36%,9.02%,8.16%,2.49,12.11
Malphite,Tank,TOP,A,51.54,-8.86,49.83%,72.81%,3.12%,2.94%,2.4,12.11
Malphite,Tank,MID,C,38.07,-1.34,48.53%,12.59%,0.55%,2.94%,2.44,12.11
Malphite,Tank,SUPPORT,D,28.76,-5.66,45.00%,13.03%,0.62%,2.90%,02.03,12.11
Malzahar,Mage,MID,A,51.06,0.34,51.42%,90.88%,3.20%,3.37%,2.24,12.11
Maokai,Tank,SUPPORT,C,37.94,-3.47,49.05%,70.95%,1.22%,0.15%,2.17,12.11
Maokai,Tank,TOP,D,28.33,-4.73,46.36%,22.21%,0.41%,0.15%,02.05,12.11
Master Yi,Assassin,JUNGLE,A,48.95,-16.46,48.91%,91.36%,5.95%,15.00%,1.94,12.11
Miss Fortune,Marksman,ADC,S,59.07,-1.13,50.95%,90.45%,10.16%,2.99%,2.33,12.11
Mordekaiser,Fighter,TOP,God,80.05,-4.62,51.68%,77.78%,7.81%,10.11%,1.89,12.11
Mordekaiser,Fighter,JUNGLE,A,49.77,-0.16,52.43%,15.79%,1.56%,10.92%,2.41,12.11
Morgana,Mage,SUPPORT,S,60.84,-0.35,49.74%,86.75%,6.84%,22.17%,2.49,12.11
Nami,Support,SUPPORT,God,70.11,-2.78,51.04%,99.41%,10.45%,3.95%,3.25,12.11
Nasus,Fighter,TOP,A,54.93,-4.71,50.86%,75.39%,3.93%,3.25%,1.91,12.11
Nasus,Fighter,MID,B,42.53,0,51.53%,11.38%,0.36%,3.25%,2.33,12.11
Nautilus,Tank,SUPPORT,S,63.57,-3.4,49.49%,97.26%,9.10%,15.42%,2.32,12.11
Neeko,Mage,MID,A,50.38,2.64,52.70%,58.08%,2.04%,0.85%,2.4,12.11
Neeko,Mage,SUPPORT,C,40.81,-0.38,51.36%,22.36%,0.78%,0.92%,2.13,12.11
Neeko,Mage,TOP,D,32.69,-1.1,49.34%,11.15%,0.29%,0.92%,1.85,12.11
Nidalee,Assassin,JUNGLE,B,44.81,5.1,47.18%,87.61%,3.46%,1.71%,2.86,12.11
Nocturne,Assassin,JUNGLE,A,48.81,-6.64,50.12%,92.67%,3.19%,2.71%,2.68,12.11
Nunu,Tank,JUNGLE,A,49.23,7.2,49.81%,89.02%,3.25%,1.25%,2.91,12.11
Olaf,Fighter,TOP,S,58.15,-13.05,51.03%,70.64%,4.26%,10.48%,1.84,12.11
Olaf,Fighter,JUNGLE,C,42.02,4.77,48.08%,27.19%,1.71%,10.48%,2.32,12.11
Orianna,Mage,MID,A,51.13,-3.34,51.02%,93.12%,2.77%,0.19%,2.75,12.11
Ornn,Tank,TOP,S,62.03,-2.94,51.49%,90.36%,4.60%,0.77%,2.41,12.11
Pantheon,Fighter,MID,B,44.47,0.46,51.16%,24.53%,1.21%,1.21%,2.32,12.11
Pantheon,Fighter,TOP,C,38.55,2.89,49.41%,26.95%,1.14%,1.13%,02.09,12.11
Pantheon,Fighter,SUPPORT,C,37.47,1.5,48.14%,41.35%,2.05%,1.13%,1.9,12.11
Poppy,Tank,JUNGLE,A,49.76,13.44,51.65%,51.88%,1.80%,1.23%,2.71,12.11
Poppy,Tank,TOP,B,43.95,9.48,51.36%,38.26%,1.24%,1.23%,2.24,12.11
Pyke,Support,SUPPORT,S,62.83,02.01,48.89%,93.27%,9.02%,16.84%,2.32,12.11
Qiyana,Assassin,MID,B,43.71,3.77,47.74%,69.68%,3.32%,3.23%,02.07,12.11
Qiyana,Assassin,JUNGLE,C,40.87,2.19,47.76%,24.18%,1.17%,3.23%,2.38,12.11
Quinn,Marksman,TOP,C,38.06,0.04,49.06%,80.74%,1.42%,0.79%,1.9,12.11
Rakan,Support,SUPPORT,S,55.79,11.94,50.43%,98.11%,6.15%,0.45%,2.92,12.11
Rammus,Tank,JUNGLE,A,52.26,10.18,51.59%,93.88%,3.09%,5.97%,2.9,12.11
Rek'Sai,Fighter,JUNGLE,B,48.04,4.41,50.27%,96.07%,2.73%,2.51%,2.58,12.11
Rell,Tank,SUPPORT,C,38.59,-5.6,48.68%,98.34%,1.34%,0.28%,2.44,12.11
Renata Glasc,Support,SUPPORT,God,66.76,1.88,52.02%,98.92%,8.59%,8.24%,2.87,12.11
Renekton,Fighter,MID,B,45.9,2.81,53.38%,13.51%,0.43%,1.62%,2.27,12.11
Renekton,Fighter,TOP,B,43.6,2.77,48.15%,84.67%,2.91%,1.62%,1.88,12.11
Rengar,Assassin,JUNGLE,B,44.55,-8.08,47.81%,77.62%,4.08%,8.70%,2.26,12.11
Rengar,Assassin,TOP,D,27.19,-18.99,44.95%,18.40%,1.01%,8.70%,1.75,12.11
Riven,Fighter,TOP,S,56.04,2.69,49.62%,89.56%,4.71%,2.71%,1.89,12.11
Rumble,Fighter,MID,A,49.09,6.11,53.51%,33.14%,0.79%,0.44%,2.64,12.11
Rumble,Fighter,TOP,C,36.54,01.01,48.19%,53.03%,1.20%,0.44%,2.12,12.11
Ryze,Mage,MID,D,36.42,09.02,46.06%,79.84%,1.96%,0.13%,2.16,12.11
Ryze,Mage,TOP,D,22.99,1.65,44.52%,16.59%,0.41%,0.14%,1.79,12.11
Samira,Marksman,ADC,S,63.76,-6.67,50.37%,96.00%,10.16%,19.23%,2.31,12.11
Sejuani,Tank,JUNGLE,A,51.71,10.97,51.28%,58.48%,1.96%,0.44%,3.28,12.11
Sejuani,Tank,TOP,B,46.8,13.76,52.44%,33.68%,1.12%,0.44%,2.45,12.11
Senna,Marksman,SUPPORT,God,83.39,-10.98,51.77%,89.21%,13.08%,20.11%,2.69,12.11
Seraphine,Mage,MID,A,52.78,4.31,52.86%,18.06%,1.80%,1.42%,2.98,12.11
Seraphine,Mage,SUPPORT,A,52.33,2.29,48.79%,63.37%,6.41%,1.42%,2.56,12.11
Seraphine,Mage,ADC,C,39.74,-1.26,52.07%,18.15%,1.66%,1.42%,2.89,12.11
Sett,Fighter,TOP,S,63.15,-10.97,49.30%,79.34%,6.22%,5.03%,1.73,12.11
Shaco,Assassin,JUNGLE,B,46.28,-12.78,47.14%,80.04%,4.34%,12.22%,2.79,12.11
Shaco,Assassin,SUPPORT,C,37.02,-0.94,48.40%,13.06%,0.80%,12.99%,2.43,12.11
Shen,Tank,TOP,S,63.86,-0.3,52.73%,87.67%,3.64%,0.70%,03.08,12.11
Shyvana,Fighter,JUNGLE,A,52.86,-8.28,52.01%,84.40%,3.08%,1.37%,2.92,12.11
Shyvana,Fighter,TOP,C,40.4,4.96,51.75%,13.03%,0.47%,1.41%,2.16,12.11
Singed,Tank,MID,S,55.96,4.92,55.52%,37.36%,1.45%,2.20%,2.83,12.11
Singed,Tank,TOP,B,47.67,-3.93,51.35%,52.76%,2.18%,2.20%,02.06,12.11
Sion,Tank,TOP,B,42.61,-4.79,48.80%,76.43%,2.74%,0.86%,1.65,12.11
Sivir,Marksman,ADC,D,34.58,-0.51,50.01%,94.70%,2.46%,0.63%,2.4,12.11
Skarner,Fighter,JUNGLE,A,51.24,12.92,52.39%,75.95%,0.84%,0.19%,03.05,12.11
Skarner,Fighter,TOP,B,43.75,14.22,53.14%,21.33%,0.22%,0.19%,2.45,12.11
Sona,Support,SUPPORT,A,51.7,-5.04,51.70%,96.47%,3.63%,0.32%,2.95,12.11
Soraka,Support,SUPPORT,S,56.53,-0.65,50.73%,93.72%,6.21%,3.86%,2.78,12.11
Swain,Mage,MID,A,53.64,-3.45,51.66%,35.09%,3.24%,7.64%,2.55,12.11
Swain,Mage,SUPPORT,B,46.71,-2.43,49.07%,36.37%,4.00%,7.64%,2.35,12.11
Swain,Mage,TOP,B,45.14,-4.5,51.04%,16.37%,1.64%,7.64%,2.12,12.11
Swain,Mage,ADC,D,36.06,-9.92,51.46%,12.08%,1.11%,7.64%,2.73,12.11
Sylas,Mage,MID,God,67.31,7.85,50.70%,84.45%,8.59%,4.99%,2.18,12.11
Sylas,Mage,TOP,D,35.72,4.66,48.66%,10.71%,1.03%,4.99%,1.93,12.11
Syndra,Mage,MID,C,40.58,-3.75,47.71%,84.75%,2.14%,0.71%,2.26,12.11
Tahm Kench,Support,TOP,S,59.36,19.78,53.19%,54.02%,3.04%,2.52%,2.64,12.11
Tahm Kench,Support,ADC,A,50.16,14.95,57.13%,21.78%,1.01%,2.52%,3.17,12.11
Tahm Kench,Support,SUPPORT,D,34.37,-3.51,46.70%,21.86%,1.11%,2.52%,2.39,12.11
Taliyah,Mage,MID,A,48.33,-27.08,49.73%,47.26%,2.95%,12.53%,2.2,12.11
Taliyah,Mage,JUNGLE,B,44.79,-17.67,48.06%,44.44%,2.87%,12.53%,2.52,12.11
Talon,Assassin,MID,B,46.54,-1.15,50.27%,42.69%,2.55%,3.23%,2.18,12.11
Talon,Assassin,JUNGLE,B,44.86,-4.83,48.25%,53.64%,3.22%,3.23%,2.49,12.11
Taric,Support,SUPPORT,A,52.2,18.28,54.29%,81.52%,2.09%,0.34%,2.9,12.11
Taric,Support,JUNGLE,B,47.42,0,50.96%,10.11%,0.26%,0.29%,2.9,12.11
Teemo,Marksman,TOP,S,60.51,-2.46,51.60%,77.54%,4.60%,7.35%,1.74,12.11
Thresh,Support,SUPPORT,A,54.25,-0.11,48.49%,96.79%,7.23%,2.16%,2.61,12.11
Tristana,Marksman,ADC,B,47.99,-5.9,50.21%,83.40%,6.89%,3.84%,2.33,12.11
Tristana,Marksman,MID,B,45.49,1.39,52.24%,13.89%,0.97%,3.84%,2.26,12.11
Trundle,Fighter,JUNGLE,A,54.51,4.5,53.34%,70.27%,2.97%,2.40%,2.79,12.11
Trundle,Fighter,TOP,C,41.5,1.24,51.94%,25.78%,1.09%,2.40%,1.76,12.11
Tryndamere,Fighter,TOP,A,49.95,10.88,50.31%,82.49%,3.19%,5.90%,1.84,12.11
Tryndamere,Fighter,MID,B,42.65,0,52.08%,11.42%,0.38%,5.90%,2.12,12.11
Twisted Fate,Mage,MID,B,44.19,-3.2,47.90%,90.45%,3.15%,0.24%,2.28,12.11
Twitch,Marksman,ADC,S,63.19,6.21,51.93%,85.54%,10.11%,8.20%,2.47,12.11
Udyr,Fighter,JUNGLE,B,46.58,11.01,49.59%,91.93%,2.08%,0.63%,2.72,12.11
Urgot,Fighter,TOP,A,48.59,-4.28,51.34%,91.03%,2.47%,1.45%,1.98,12.11
Varus,Marksman,MID,C,37.94,-0.79,49.11%,13.56%,0.45%,0.25%,2.27,12.11
Varus,Marksman,ADC,D,34.84,01.02,49.96%,84.02%,2.74%,0.23%,2.34,12.11
Vayne,Marksman,ADC,S,57.48,-27.25,50.72%,79.04%,8.96%,16.20%,2.1,12.11
Vayne,Marksman,TOP,C,41.69,-0.77,49.45%,18.11%,2.01%,16.20%,1.58,12.11
Veigar,Mage,MID,God,67.2,-2.24,51.51%,77.12%,7.56%,7.51%,2.39,12.11
Veigar,Mage,ADC,C,36.94,3.81,52.38%,14.30%,1.38%,7.51%,2.43,12.11
Vel'Koz,Mage,MID,B,47.9,0.46,51.70%,41.68%,1.46%,0.64%,2.66,12.11
Vel'Koz,Mage,SUPPORT,B,44.43,-1.44,51.33%,53.70%,2.01%,0.68%,2.27,12.11
Vex,Mage,MID,B,46.74,-7.52,48.72%,89.62%,3.21%,5.23%,2.34,12.11
Vi,Fighter,JUNGLE,A,49.75,-5.91,51.23%,92.46%,3.28%,0.98%,2.45,12.11
Viego,Assassin,JUNGLE,S,63.74,-26.75,49.80%,94.06%,14.18%,12.97%,2.49,12.11
Viktor,Mage,MID,S,65.28,3.63,51.58%,93.80%,7.26%,3.67%,2.38,12.11
Vladimir,Mage,MID,A,51.38,3.63,49.74%,69.41%,3.89%,6.41%,2.4,12.11
Vladimir,Mage,TOP,C,38.05,2.28,48.36%,28.38%,1.45%,6.41%,02.04,12.11
Volibear,Fighter,JUNGLE,S,60.13,-0.57,53.37%,54.87%,6.63%,7.74%,2.88,12.11
Volibear,Fighter,TOP,S,56.01,15.93,48.22%,42.73%,5.27%,7.74%,1.64,12.11
Warwick,Fighter,JUNGLE,A,50.8,-3.99,51.31%,71.42%,4.39%,4.24%,2.26,12.11
Warwick,Fighter,TOP,A,48.09,13.79,54.25%,26.29%,1.21%,4.24%,1.94,12.11
Wukong,Fighter,JUNGLE,S,64.88,-26.51,52.94%,76.81%,8.18%,25.59%,2.93,12.11
Wukong,Fighter,TOP,A,49.25,-10.72,50.15%,19.74%,2.16%,25.59%,2.14,12.11
Xayah,Marksman,ADC,B,42.63,-0.13,49.72%,97.84%,5.57%,0.93%,2.36,12.11
Xerath,Mage,MID,S,55.74,1.54,52.06%,43.90%,2.60%,3.55%,3.34,12.11
Xerath,Mage,SUPPORT,A,49.34,-3.2,51.21%,50.78%,3.27%,3.55%,2.71,12.11
Xin Zhao,Fighter,JUNGLE,B,44.19,10.35,48.73%,88.67%,2.82%,0.93%,2.29,12.11
Yasuo,Fighter,MID,God,87.4,-1.29,49.37%,68.85%,12.60%,23.99%,1.76,12.11
Yasuo,Fighter,TOP,B,46.45,2.93,49.31%,14.59%,2.60%,23.99%,1.53,12.11
Yasuo,Fighter,ADC,D,33.91,10.68,49.49%,15.43%,2.66%,23.99%,1.98,12.11
Yone,Assassin,MID,God,76.96,06.09,51.19%,62.15%,10.26%,15.42%,1.97,12.11
Yone,Assassin,TOP,S,63.77,0.53,50.40%,34.73%,5.35%,15.42%,1.71,12.11
Yorick,Fighter,TOP,B,47.95,8.2,52.64%,94.29%,2.26%,2.64%,1.59,12.11
Yuumi,Support,SUPPORT,God,94.89,18.06,50.58%,98.46%,13.33%,28.71%,4.37,12.11
Zac,Tank,JUNGLE,S,58.47,3.6,52.45%,76.45%,4.31%,3.18%,3.66,12.11
Zac,Tank,TOP,A,50.9,0,54.42%,14.51%,0.69%,3.18%,2.79,12.11
Zed,Assassin,MID,God,67.98,-3.42,48.20%,73.40%,7.34%,28.72%,2.34,12.11
Zed,Assassin,JUNGLE,B,42.46,0.9,47.03%,21.98%,2.01%,28.72%,2.58,12.11
Zeri,Marksman,ADC,God,90.64,64.58,51.62%,85.78%,15.62%,21.15%,2.5,12.11
Ziggs,Mage,MID,C,42.28,-4.34,50.18%,35.55%,0.91%,0.34%,2.45,12.11
Ziggs,Mage,ADC,D,35.08,7.31,51.29%,57.15%,1.39%,0.32%,2.54,12.11
Zilean,Support,MID,A,52.69,-1.77,52.49%,21.28%,1.05%,2.71%,3.57,12.11
Zilean,Support,SUPPORT,A,49.18,-5.34,49.80%,75.08%,3.65%,2.71%,03.09,12.11
Zoe,Mage,MID,A,48.25,-0.96,48.23%,91.87%,3.82%,1.73%,2.51,12.11
Zyra,Mage,SUPPORT,A,49.39,04.09,52.49%,90.71%,3.15%,1.91%,2.24,12.11
Aatrox,Fighter,TOP,God,68.69,-0.68,48.87%,92.15%,7.49%,5.55%,1.95,12.12
Ahri,Mage,MID,God,73.09,-0.63,50.42%,94.37%,10.14%,7.85%,2.65,12.12
Akali,Assassin,MID,S,60.41,1.74,49.24%,69.81%,6.74%,11.72%,2.42,12.12
Akali,Assassin,TOP,C,40.98,-2.85,46.38%,29.18%,2.78%,11.72%,02.05,12.12
Akshan,Marksman,MID,A,49.07,2.17,50.64%,57.12%,2.85%,7.17%,2.24,12.12
Akshan,Marksman,TOP,B,42.52,0.56,50.31%,33.86%,1.64%,7.17%,2,12.12
Alistar,Tank,SUPPORT,C,40.14,-2.86,48.92%,95.81%,2.50%,0.63%,2.43,12.12
Amumu,Tank,JUNGLE,A,54.58,8.47,53.56%,59.83%,3.23%,1.28%,2.8,12.12
Amumu,Tank,SUPPORT,B,42.27,8.75,51.93%,38.16%,1.55%,1.28%,2.21,12.12
Anivia,Mage,MID,A,51.77,0.18,51.77%,79.68%,2.53%,3.24%,2.64,12.12
Anivia,Mage,SUPPORT,D,29,-0.4,46.63%,13.84%,0.39%,3.24%,2.15,12.12
Annie,Mage,MID,A,48.62,3.8,51.86%,80.67%,1.82%,0.69%,2.41,12.12
Annie,Mage,SUPPORT,D,30.12,0.67,47.57%,11.58%,0.24%,0.69%,2.11,12.12
Aphelios,Marksman,ADC,D,29.32,-3.27,47.26%,96.88%,4.39%,0.77%,02.04,12.12
Ashe,Marksman,SUPPORT,A,52.88,-1.59,49.37%,44.96%,6.58%,4.37%,2.43,12.12
Ashe,Marksman,ADC,A,51.03,2.13,50.52%,52.33%,7.92%,4.37%,2.41,12.12
Aurelion Sol,Mage,MID,C,40.95,-2.33,48.77%,86.78%,0.90%,0.33%,2.54,12.12
Azir,Mage,MID,A,48.78,5.25,49.09%,89.76%,3.95%,1.52%,2.21,12.12
Bard,Support,SUPPORT,A,49.91,0.74,51.09%,95.32%,3.70%,0.57%,03.05,12.12
Bel'Veth,Fighter,JUNGLE,God,93.99,-0.93,52.65%,92.36%,12.72%,61.41%,2.39,12.12
Blitzcrank,Tank,SUPPORT,S,56.98,3.19,50.25%,97.81%,6.56%,14.44%,2.47,12.12
Brand,Mage,SUPPORT,B,45,0.77,50.97%,70.13%,3.49%,4.98%,1.85,12.12
Brand,Mage,MID,C,37.71,-4.12,48.30%,20.28%,0.89%,4.98%,02.01,12.12
Braum,Support,SUPPORT,C,40.21,-2.77,48.80%,97.82%,2.11%,0.32%,2.79,12.12
Caitlyn,Marksman,ADC,A,51.63,2.4,48.35%,96.12%,10.04%,5.37%,2.22,12.12
Camille,Fighter,TOP,S,58.29,0.09,50.24%,94.38%,4.95%,2.87%,1.98,12.12
Cassiopeia,Mage,MID,A,48.27,0.83,51.85%,75.58%,2.12%,1.77%,2.16,12.12
Cassiopeia,Mage,TOP,D,37.33,1.85,51.39%,14.27%,0.41%,1.75%,1.84,12.12
Cho'Gath,Tank,TOP,B,46.72,2.45,51.62%,64.68%,1.89%,0.71%,2.11,12.12
Cho'Gath,Tank,MID,C,39.84,-2.11,49.31%,19.56%,0.46%,0.71%,2.36,12.12
Corki,Marksman,MID,A,50.08,6.64,49.77%,93.42%,3.85%,0.54%,2.31,12.12
Darius,Fighter,TOP,God,92.18,0.79,50.51%,93.09%,9.49%,21.74%,1.89,12.12
Diana,Fighter,JUNGLE,S,62.81,3.12,52.72%,84.01%,9.72%,8.19%,2.61,12.12
Diana,Fighter,MID,B,45.74,0.43,50.80%,14.38%,1.73%,8.19%,2.18,12.12
Dr. Mundo,Marksman,TOP,B,47.55,-10,50.09%,84.20%,2.62%,1.86%,2.18,12.12
Draven,Fighter,ADC,A,51.01,2.79,50.43%,94.17%,7.67%,13.84%,2.13,12.12
Ekko,Assassin,JUNGLE,A,51.71,-1.04,50.84%,62.86%,4.51%,2.51%,2.78,12.12
Ekko,Assassin,MID,B,45.22,-2.35,49.19%,34.12%,2.48%,2.51%,2.3,12.12
Elise,Mage,JUNGLE,B,45.04,4.63,49.99%,90.75%,1.28%,0.53%,2.69,12.12
Evelynn,Assassin,JUNGLE,B,44.4,2.13,47.69%,97.38%,2.80%,3.48%,2.91,12.12
Ezreal,Marksman,ADC,God,89.94,4.19,49.00%,95.44%,21.45%,5.66%,2.42,12.12
Fiddlesticks,Mage,JUNGLE,B,44.48,-1.19,49.05%,86.15%,2.31%,1.16%,2.58,12.12
Fiora,Fighter,TOP,God,74.77,-15.5,50.97%,97.33%,6.65%,19.96%,1.79,12.12
Fizz,Assassin,MID,B,48.04,-0.36,49.49%,95.08%,2.95%,4.54%,2.45,12.12
Galio,Tank,MID,B,45.04,-0.99,49.17%,77.13%,1.90%,0.32%,2.64,12.12
Galio,Tank,SUPPORT,D,30.66,-7.92,47.23%,19.11%,0.47%,0.33%,2.24,12.12
Gangplank,Fighter,TOP,God,74.38,-1.94,47.73%,79.42%,8.23%,12.81%,02.03,12.12
Gangplank,Fighter,MID,B,43.37,2.31,48.77%,19.28%,2.06%,12.81%,2.18,12.12
Garen,Fighter,TOP,God,66.52,1.79,51.46%,85.21%,5.94%,2.92%,02.08,12.12
Gnar,Fighter,TOP,S,57.81,7.45,50.05%,96.18%,5.02%,1.16%,1.99,12.12
Gragas,Fighter,JUNGLE,B,45.86,-4.67,49.78%,23.47%,1.24%,0.61%,2.97,12.12
Gragas,Fighter,MID,B,45.83,-2.26,51.57%,13.69%,0.82%,0.61%,2.53,12.12
Gragas,Fighter,TOP,B,44.83,1.53,47.79%,53.37%,3.20%,0.61%,2.12,12.12
